route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,peak_offpeak
1,7852,9463060,Poughkeepsie,8851,0,,12,1,0
1,7852,9463061,Grand Central,8852,1,,1,1,0
1,7852,9463062,Poughkeepsie,8855,0,,12,1,0
1,7852,9463063,Grand Central,8856,1,,1,1,0
1,7852,9463064,Poughkeepsie,8859,0,,12,1,0
1,7852,9463065,Grand Central,8860,1,,1,1,0
1,7852,9463066,Poughkeepsie,8863,0,,12,1,0
1,7852,9463067,Grand Central,8864,1,,1,1,0
1,7852,9463068,Poughkeepsie,8867,0,,12,1,0
1,7852,9463069,Grand Central,8868,1,,1,1,0
1,7852,9463070,Poughkeepsie,8871,0,,12,1,0
1,7852,9463071,Grand Central,8872,1,,1,1,0
1,7852,9463072,Croton-Harmon,8876,1,,1,1,0
1,7852,9463073,Poughkeepsie,8897,0,,12,1,0
1,7852,9463074,Croton-Harmon,8898,1,,1,1,0
2,7852,9463075,Grand Central,9502,1,,3,1,0
2,7852,9463076,Grand Central,9506,1,,3,1,0
2,7852,9463077,North White Plains,9507,0,,14,1,0
2,7852,9463078,Grand Central,9510,1,,3,1,0
2,7852,9463079,North White Plains,9511,0,,14,1,0
2,7852,9463080,Grand Central,9514,1,,3,1,0
2,7852,9463081,North White Plains,9515,0,,14,1,0
2,7852,9463082,Grand Central,9518,1,,3,1,0
2,7852,9463083,North White Plains,9519,0,,14,1,0
2,7852,9463084,Grand Central,9520,1,,3,1,0
2,7852,9463085,Grand Central,9522,1,,3,1,0
2,7852,9463086,North White Plains,9523,0,,14,1,0
2,7852,9463087,Grand Central,9524,1,,3,1,0
2,7852,9463088,Grand Central,9526,1,,3,1,0
2,7852,9463089,North White Plains,9527,0,,14,1,0
2,7852,9463090,Grand Central,9528,1,,3,1,0
2,7852,9463091,North White Plains,9529,0,,14,1,0
2,7852,9463092,Grand Central,9530,1,,3,1,0
2,7852,9463093,North White Plains,9531,0,,14,1,0
2,7852,9463094,Grand Central,9532,1,,3,1,0
2,7852,9463095,North White Plains,9533,0,,14,1,0
2,7852,9463096,Grand Central,9534,1,,3,1,0
2,7852,9463097,North White Plains,9535,0,,14,1,0
2,7852,9463098,Grand Central,9536,1,,3,1,0
2,7852,9463099,North White Plains,9537,0,,14,1,0
2,7852,9463100,Grand Central,9538,1,,3,1,0
2,7852,9463101,North White Plains,9539,0,,14,1,0
2,7852,9463102,Grand Central,9540,1,,3,1,0
2,7852,9463103,North White Plains,9541,0,,14,1,0
2,7852,9463104,Grand Central,9542,1,,3,1,0
2,7852,9463105,North White Plains,9543,0,,14,1,0
2,7852,9463106,Grand Central,9544,1,,3,1,0
2,7852,9463107,North White Plains,9545,0,,14,1,0
2,7852,9463108,Grand Central,9546,1,,3,1,0
2,7852,9463109,North White Plains,9547,0,,14,1,0
2,7852,9463110,Grand Central,9548,1,,3,1,0
2,7852,9463111,North White Plains,9549,0,,14,1,0
2,7852,9463112,Grand Central,9550,1,,3,1,0
2,7852,9463113,North White Plains,9551,0,,14,1,0
2,7852,9463114,Grand Central,9552,1,,3,1,0
2,7852,9463115,North White Plains,9553,0,,14,1,0
2,7852,9463116,Grand Central,9554,1,,3,1,0
2,7852,9463117,North White Plains,9555,0,,14,1,0
2,7852,9463118,North White Plains,9557,0,,14,1,0
2,7852,9463119,Grand Central,9558,1,,3,1,0
2,7852,9463120,North White Plains,9559,0,,14,1,0
2,7852,9463121,North White Plains,9561,0,,14,1,0
2,7852,9463122,Grand Central,9562,1,,3,1,0
2,7852,9463123,North White Plains,9563,0,,14,1,0
2,7852,9463124,Grand Central,9566,1,,3,1,0
2,7852,9463125,North White Plains,9567,0,,14,1,0
2,7852,9463126,Grand Central,9570,1,,3,1,0
2,7852,9463127,North White Plains,9571,0,,14,1,0
2,7852,9463128,Grand Central,9574,1,,3,1,0
2,7852,9463129,North White Plains,9575,0,,14,1,0
2,7852,9463130,North White Plains,9597,0,,14,1,0
2,7852,9463131,North White Plains,9599,0,,14,1,0
